,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Glo_sal_norml,Sales_rate
9376,9526,Otogi: Myth of Demons,XB,2002,Action,Sega,0.08,0.02,0.03,0.0,0.13,0.0015711868503746678,Low
9377,9527,The Price is Right 2010 Edition,DS,2009,Misc,Ubisoft,0.12,0.0,0.0,0.01,0.13,0.0015711868503746678,Low
9378,9528,Army Men: Soldiers of Misfortune,Wii,2008,Shooter,Zoo Games,0.12,0.0,0.0,0.01,0.13,0.0015711868503746678,Low
9379,9529,Alter Echo,PS2,2003,Shooter,THQ,0.06,0.05,0.0,0.02,0.13,0.0015711868503746678,Low
9380,9530,Walt Disney Pictures Presents: The Wild,GBA,2006,Platform,Disney Interactive Studios,0.09,0.03,0.0,0.0,0.13,0.0015711868503746678,Low
9381,9531,Puzzle de Harvest Moon,DS,2007,Puzzle,Natsume,0.12,0.0,0.0,0.01,0.13,0.0015711868503746678,Low
9382,9532,Reader Rabbit Kindergarten,Wii,2010,Misc,Graffiti,0.12,0.0,0.0,0.01,0.13,0.0015711868503746678,Low
9383,9533,Onechanbara: Bikini Samurai Squad,X360,2006,Action,D3Publisher,0.11,0.01,0.0,0.01,0.13,0.0015711868503746678,Low
9384,9534,Metal Max 3,DS,2010,Role-Playing,Enterbrain,0.0,0.0,0.13,0.0,0.13,0.0015711868503746678,Low
9385,9535,Rock Band Track Pack Volume 1,PS2,2008,Misc,MTV Games,0.06,0.05,0.0,0.02,0.13,0.0015711868503746678,Low
9386,9536,Puyo Puyo!! 20th Anniversary,3DS,2011,Puzzle,Sega,0.0,0.0,0.13,0.0,0.13,0.0015711868503746678,Low
9387,9537,Hour of Victory,X360,2007,Shooter,Midway Games,0.1,0.01,0.0,0.01,0.13,0.0015711868503746678,Low
9388,9538,Namco Soccer Prime Goal,PS,1995,Sports,Sony Computer Entertainment,0.0,0.0,0.12,0.01,0.13,0.0015711868503746678,Low
9389,9539,NBA 08,PS2,2007,Sports,Sony Computer Entertainment,0.06,0.05,0.0,0.02,0.13,0.0015711868503746678,Low
9390,9540,Dragon Quest Heroes II: Twin Kings and the Prophecy's End,PS3,2016,Action,Square Enix,0.0,0.0,0.13,0.0,0.13,0.0015711868503746678,Low
9391,9541,Monster Hunter Frontier Online,X360,2010,Role-Playing,Capcom,0.0,0.0,0.13,0.0,0.13,0.0015711868503746678,Low
9392,9542,Green Lantern: Rise of the Manhunters,3DS,2011,Action,Warner Bros. Interactive Entertainment,0.09,0.03,0.0,0.01,0.13,0.0015711868503746678,Low
9393,9543,Shin Megami Tensei: Digital Devil Saga,PS2,2004,Role-Playing,Ghostlight,0.06,0.05,0.0,0.02,0.13,0.0015711868503746678,Low
9394,9544,7 Wonders of the Ancient World,DS,2007,Puzzle,Funsta,0.1,0.01,0.0,0.01,0.13,0.0015711868503746678,Low
9395,9545,Backyard Baseball '09,DS,2008,Sports,Atari,0.12,0.0,0.0,0.01,0.13,0.0015711868503746678,Low
9396,9546,Puppies 3D,3DS,2011,Misc,Ubisoft,0.08,0.04,0.0,0.01,0.13,0.0015711868503746678,Low
9397,9547,Jissen Pachi-Slot Hisshouhou! Aladdin II Evolution,PS2,2005,Misc,Sega,0.0,0.0,0.13,0.0,0.13,0.0015711868503746678,Low
9398,9548,Mystic Ark,SNES,1995,Role-Playing,Enix Corporation,0.0,0.0,0.13,0.0,0.13,0.0015711868503746678,Low
9399,9549,Just Cause 2,PC,2010,Action,Square Enix,0.0,0.1,0.0,0.03,0.13,0.0015711868503746678,Low
9400,9550,Ty the Tasmanian Tiger 2: Bush Rescue,GBA,2004,Platform,Electronic Arts,0.09,0.03,0.0,0.0,0.13,0.0015711868503746678,Low
9401,9551,Venetica,PS3,2010,Role-Playing,DTP Entertainment,0.07,0.04,0.0,0.02,0.13,0.0015711868503746678,Low
9402,9552,Teenage Mutant Ninja Turtles 2: Battle Nexus,XB,2004,Action,Konami Digital Entertainment,0.1,0.03,0.0,0.0,0.13,0.0015711868503746678,Low
9403,9553,LEGO Racers 2,PS2,2001,Racing,Electronic Arts,0.06,0.05,0.0,0.02,0.13,0.0015711868503746678,Low
9404,9554,Backyard Baseball,GC,2003,Sports,Infogrames,0.1,0.03,0.0,0.0,0.13,0.0015711868503746678,Low
9405,9555,Transformers: War for Cybertron -- Decepticons,DS,2010,Action,Activision,0.11,0.01,0.0,0.01,0.13,0.0015711868503746678,Low
9406,9556,Overlord: Raising Hell,PS3,2008,Action,Codemasters,0.07,0.04,0.0,0.02,0.13,0.0015711868503746678,Low
9407,9557,Sega GT,DC,2000,Racing,Sega,0.0,0.0,0.13,0.0,0.13,0.0015711868503746678,Low
9408,9558,Fuse (Insomniac),X360,2013,Shooter,Electronic Arts,0.08,0.04,0.0,0.01,0.13,0.0015711868503746678,Low
9409,9559,Cabela's Dangerous Hunts 2009,PS3,2008,Sports,Activision Value,0.12,0.0,0.0,0.01,0.13,0.0015711868503746678,Low
9410,9560,Legends of Wrestling,GC,2002,Fighting,Acclaim Entertainment,0.1,0.03,0.0,0.0,0.13,0.0015711868503746678,Low
9411,9561,Space Bust-A-Move,DS,2008,Puzzle,Square Enix,0.1,0.02,0.0,0.01,0.13,0.0015711868503746678,Low
9412,9562,Legend of the Guardians: The Owls of Ga'Hoole,Wii,2010,Action,Warner Bros. Interactive Entertainment,0.11,0.01,0.0,0.01,0.13,0.0015711868503746678,Low
9413,9563,Gunstar Heroes,GEN,1992,Shooter,Sega,0.0,0.0,0.13,0.0,0.13,0.0015711868503746678,Low
9414,9564,All-Star Baseball 2004,XB,2003,Sports,Acclaim Entertainment,0.1,0.03,0.0,0.0,0.13,0.0015711868503746678,Low
9415,9565,Tamagotchi no Pichi Pichi Omisecchi,DS,2010,Action,Namco Bandai Games,0.0,0.0,0.13,0.0,0.13,0.0015711868503746678,Low
9416,9566,Shining Wind,PS2,2007,Role-Playing,Sega,0.0,0.0,0.13,0.0,0.13,0.0015711868503746678,Low
9417,9567,Brothers in Arms: Double Time,Wii,2008,Shooter,Ubisoft,0.11,0.0,0.0,0.01,0.13,0.0015711868503746678,Low
9418,9568,Portal Runner,PS2,2001,Platform,3DO,0.06,0.05,0.0,0.02,0.13,0.0015711868503746678,Low
9419,9569,Pokémon: For Ho-Oh the Bells Toll!: Game Boy Advance Video,GBA,2004,Misc,Nintendo,0.09,0.03,0.0,0.0,0.13,0.0015711868503746678,Low
9420,9570,Pro Evolution Soccer 2016,X360,2015,Sports,Konami Digital Entertainment,0.04,0.08,0.0,0.01,0.13,0.0015711868503746678,Low
9421,9571,Batman: Arkham Knight,PC,2015,Action,Warner Bros. Interactive Entertainment,0.08,0.03,0.0,0.01,0.13,0.0015711868503746678,Low
9422,9572,Warriors Orochi 2,PS2,2008,Action,Tecmo Koei,0.06,0.05,0.0,0.02,0.13,0.0015711868503746678,Low
9423,9573,Disney's Winnie the Pooh's Rumbly Tumbly Adventure,PS2,2005,Platform,Ubisoft,0.06,0.05,0.0,0.02,0.13,0.0015711868503746678,Low
9424,9574,Need for Speed: ProStreet,DS,2007,Racing,Electronic Arts,0.11,0.01,0.0,0.01,0.13,0.0015711868503746678,Low
9425,9575,Assault: Retribution,PS,1998,Action,Telstar,0.07,0.05,0.0,0.01,0.13,0.0015711868503746678,Low
9426,9576,Sengoku Basara 3 Utage,Wii,2011,Action,Capcom,0.0,0.0,0.13,0.0,0.13,0.0015711868503746678,Low
9427,9577,Spartan: Total Warrior,XB,2005,Action,Sega,0.1,0.03,0.0,0.0,0.13,0.0015711868503746678,Low
9428,9578,Gravity Rush Remastered,PS4,2015,Action,Sony Computer Entertainment,0.02,0.05,0.04,0.01,0.13,0.0015711868503746678,Low
9429,9579,Rock Band Track Pack Volume 2,PS3,2008,Misc,MTV Games,0.11,0.0,0.0,0.01,0.13,0.0015711868503746678,Low
9430,9580,City Crisis,PS2,2001,Simulation,Take-Two Interactive,0.06,0.05,0.0,0.02,0.13,0.0015711868503746678,Low
9431,9581,Zapper: One Wicked Cricket!,GC,2002,Platform,Infogrames,0.1,0.03,0.0,0.0,0.13,0.0015711868503746678,Low
9432,9582,Star Wars: Clone Wars,XB,2003,Shooter,LucasArts,0.1,0.03,0.0,0.0,0.13,0.0015711868503746678,Low
9433,9583,Assassination Classroom: Grand Siege on Kuro-sensei,3DS,2015,Action,Namco Bandai Games,0.0,0.0,0.13,0.0,0.13,0.0015711868503746678,Low
9434,9584,Dynasty Warriors 5 Empires,X360,2006,Action,Tecmo Koei,0.11,0.01,0.0,0.01,0.13,0.0015711868503746678,Low
9435,9585,High Rollers Casino,XB,2004,Misc,Mud Duck Productions,0.1,0.03,0.0,0.0,0.13,0.0015711868503746678,Low
9436,9586,Advent Rising,XB,2005,Action,THQ,0.1,0.03,0.0,0.0,0.13,0.0015711868503746678,Low
9437,9587,Surf Riders,PS,1999,Sports,Ubisoft,0.07,0.05,0.0,0.01,0.13,0.0015711868503746678,Low
9438,9588,Torino 2006,PS2,2006,Sports,Take-Two Interactive,0.06,0.05,0.0,0.02,0.13,0.0015711868503746678,Low
9439,9589,Nobunaga no Yabou: Ranseiki,PS2,2002,Strategy,Tecmo Koei,0.0,0.0,0.13,0.0,0.13,0.0015711868503746678,Low
9440,9590,Derby Stallion Advance,GBA,2002,Sports,Enterbrain,0.0,0.0,0.12,0.0,0.13,0.0015711868503746678,Low
9441,9591,PBR: Out of the Chute,Wii,2008,Sports,Crave Entertainment,0.12,0.0,0.0,0.01,0.13,0.0015711868503746678,Low
9442,9592,Monopoly Party,GC,2002,Misc,Infogrames,0.1,0.03,0.0,0.0,0.13,0.0015711868503746678,Low
9443,9593,LEGO Batman 2: DC Super Heroes,WiiU,2013,Action,Warner Bros. Interactive Entertainment,0.05,0.07,0.0,0.01,0.13,0.0015711868503746678,Low
9444,9594,Thor: God of Thunder,DS,2011,Action,Sega,0.09,0.03,0.0,0.01,0.13,0.0015711868503746678,Low
9445,9595,TOCA Race Driver 2: Ultimate Racing Simulator,XB,2004,Racing,Codemasters,0.09,0.03,0.0,0.0,0.13,0.0015711868503746678,Low
9446,9596,The Price is Right: Decades,Wii,2011,Misc,Ubisoft,0.12,0.0,0.0,0.01,0.13,0.0015711868503746678,Low
9447,9597,Snood,GBA,2001,Puzzle,"Destination Software, Inc",0.09,0.03,0.0,0.0,0.13,0.0015711868503746678,Low
9448,9598,The Sky Crawlers: Innocent Aces,Wii,2008,Simulation,Namco Bandai Games,0.09,0.02,0.01,0.01,0.13,0.0015711868503746678,Low
9449,9599,Avatar: The Last Airbender - Into the Inferno,DS,2008,Adventure,THQ,0.11,0.01,0.0,0.01,0.13,0.0015711868503746678,Low
9450,9600,Fit in Six,PS3,2011,Sports,Ubisoft,0.12,0.0,0.0,0.01,0.13,0.0015711868503746678,Low
9451,9601,Monster Jam: Urban Assault,PS2,2008,Racing,Activision,0.06,0.05,0.0,0.02,0.13,0.0015711868503746678,Low
9452,9602,Ice Age: Dawn of the Dinosaurs,X360,2009,Action,Activision,0.09,0.03,0.0,0.01,0.13,0.0015711868503746678,Low
9453,9603,DT Racer,PS2,2005,Racing,XS Games,0.06,0.05,0.0,0.02,0.13,0.0015711868503746678,Low
9454,9604,SimAnimals Africa,Wii,2009,Simulation,Electronic Arts,0.1,0.01,0.0,0.01,0.13,0.0015711868503746678,Low
9455,9605,Deepak Chopra's Leela,X360,2011,Misc,THQ,0.07,0.05,0.0,0.01,0.13,0.0015711868503746678,Low
9456,9606,Twister Mania,X360,2011,Misc,505 Games,0.1,0.01,0.0,0.01,0.13,0.0015711868503746678,Low
9457,9607,World Cup Golf: Professional Edition,PS,1995,Sports,U.S. Gold,0.07,0.05,0.0,0.01,0.13,0.0015711868503746678,Low
9458,9608,Black Dawn,PS,1996,Simulation,Virgin Interactive,0.07,0.05,0.0,0.01,0.13,0.0015711868503746678,Low
9459,9609,Soccer Tsuku: Pro Soccer Club o Tsukurou!,PS3,2013,Sports,Sega,0.0,0.0,0.13,0.0,0.13,0.0015711868503746678,Low
9460,9610,428: Fuusa Sareta Shibuya de,Wii,2008,Adventure,Sega,0.0,0.0,0.13,0.0,0.13,0.0015711868503746678,Low
9461,9611,Kelly Slater's Pro Surfer,GBA,2002,Sports,Activision,0.09,0.03,0.0,0.0,0.13,0.0015711868503746678,Low
9462,9612,Warriors of Might and Magic,PS,2001,Adventure,3DO,0.07,0.05,0.0,0.01,0.13,0.0015711868503746678,Low
9463,9613,Drome Racers,PS2,2002,Racing,Electronic Arts,0.06,0.05,0.0,0.02,0.13,0.0015711868503746678,Low
9464,9614,X-Men: Next Dimension,GC,2002,Fighting,Activision,0.1,0.03,0.0,0.0,0.13,0.0015711868503746678,Low
9465,9615,Impossible Mission,DS,2007,Platform,System 3 Arcade Software,0.12,0.0,0.0,0.01,0.13,0.0015711868503746678,Low
9466,9616,NCIS,PS3,2011,Adventure,Ubisoft,0.07,0.04,0.0,0.02,0.13,0.0015711868503746678,Low
9467,9617,Cabela's Dangerous Hunts 2011,DS,2010,Sports,Activision,0.12,0.0,0.0,0.01,0.13,0.0015711868503746678,Low
9468,9618,Garfield's Fun Fest,DS,2008,Platform,Zoo Digital Publishing,0.07,0.04,0.0,0.01,0.13,0.0015711868503746678,Low
9469,9619,7th Dragon 2020-II,PSP,2013,Role-Playing,Sega,0.0,0.0,0.13,0.0,0.13,0.0015711868503746678,Low
9470,9620,Doukyuusei 2,SAT,1997,Role-Playing,NEC Interchannel,0.0,0.0,0.13,0.0,0.13,0.0015711868503746678,Low
9471,9621,SkullMonkeys,PS,1998,Platform,DreamWorks Interactive,0.07,0.05,0.0,0.01,0.13,0.0015711868503746678,Low
9472,9622,Cloudy With a Chance of Meatballs,Wii,2009,Platform,Ubisoft,0.11,0.0,0.0,0.01,0.13,0.0015711868503746678,Low
9473,9623,Burnout,XB,2002,Racing,Acclaim Entertainment,0.09,0.03,0.0,0.0,0.13,0.0015711868503746678,Low
9474,9624,Zenses: Ocean,DS,2008,Puzzle,Game Factory,0.11,0.01,0.0,0.01,0.13,0.0015711868503746678,Low
9475,9625,Ben 10 Galactic Racing,Wii,2011,Racing,D3Publisher,0.08,0.03,0.0,0.01,0.13,0.0015711868503746678,Low
9476,9626,Teenage Mutant Ninja Turtles: Arcade Attack,DS,2009,Action,Ubisoft,0.12,0.0,0.0,0.01,0.13,0.0015711868503746678,Low
9477,9627,Baroque,PS2,2007,Role-Playing,Rising Star Games,0.05,0.04,0.02,0.01,0.13,0.0015711868503746678,Low
9478,9628,Left Brain Right Brain 2,DS,2008,Misc,Majesco Entertainment,0.12,0.0,0.0,0.01,0.13,0.0015711868503746678,Low
9479,9629,Dynasty Warriors: Gundam Reborn,PSV,2013,Action,Namco Bandai Games,0.0,0.0,0.13,0.0,0.13,0.0015711868503746678,Low
9480,9630,Kidz Sports: Crazy Golf,Wii,2008,Sports,Data Design Interactive,0.11,0.0,0.0,0.01,0.13,0.0015711868503746678,Low
9481,9631,Little Battlers eXperience: Wars,3DS,2013,Strategy,Level 5,0.0,0.0,0.13,0.0,0.13,0.0015711868503746678,Low
9482,9632,Victorious: Time to Shine,X360,2011,Action,D3Publisher,0.12,0.0,0.0,0.01,0.13,0.0015711868503746678,Low
9483,9633,NBA Ballers: Phenom,XB,2006,Sports,Midway Games,0.09,0.03,0.0,0.0,0.13,0.0015711868503746678,Low
9484,9634,Aikatsu! 365 Idol Days,3DS,2014,Adventure,Namco Bandai Games,0.0,0.0,0.13,0.0,0.13,0.0015711868503746678,Low
9485,9635,Petz Puppyz & Kittenz,DS,2011,Misc,Ubisoft,0.12,0.0,0.0,0.01,0.13,0.0015711868503746678,Low
9486,9636,Crash Tag Team Racing,XB,2005,Racing,Vivendi Games,0.09,0.03,0.0,0.0,0.13,0.0015711868503746678,Low
9487,9637,Freedom Fighters,GC,2003,Shooter,Electronic Arts,0.1,0.03,0.0,0.0,0.13,0.0015711868503746678,Low
9488,9638,The Stronghold Collection,PC,2009,Strategy,Take-Two Interactive,0.03,0.08,0.0,0.02,0.13,0.0015711868503746678,Low
9489,9639,Operation Abyss: New Tokyo Legacy,PSV,2014,Role-Playing,Nippon Ichi Software,0.04,0.01,0.06,0.02,0.13,0.0015711868503746678,Low
9490,9640,Transformer: Rise of the Dark Spark,PS3,2014,Action,Activision,0.04,0.05,0.01,0.02,0.13,0.0015711868503746678,Low
9491,9641,Mega Man X Collection,GC,2006,Misc,Capcom,0.1,0.03,0.0,0.0,0.13,0.0015711868503746678,Low
9492,9642,Detana TwinBee Yahho! Deluxe Pack,SAT,1995,Shooter,Konami Digital Entertainment,0.0,0.0,0.13,0.0,0.13,0.0015711868503746678,Low
9493,9643,Dragon Ball: Origins,DS,2008,Action,Atari,0.09,0.03,0.0,0.01,0.13,0.0015711868503746678,Low
9494,9644,Last Ranker,PSP,2010,Role-Playing,Capcom,0.0,0.0,0.13,0.0,0.13,0.0015711868503746678,Low
9495,9645,Quantum Redshift,XB,2002,Racing,Microsoft Game Studios,0.09,0.03,0.0,0.0,0.13,0.0015711868503746678,Low
9496,9646,Smash Court Tennis Pro Tournament 2,PS2,2004,Sports,Sony Computer Entertainment,0.06,0.05,0.0,0.02,0.13,0.0015711868503746678,Low
9497,9647,Eat Lead: The Return of Matt Hazard,X360,2009,Shooter,D3Publisher,0.1,0.01,0.0,0.01,0.13,0.0015711868503746678,Low
9498,9648,Battleborn,XOne,2016,Shooter,Take-Two Interactive,0.08,0.04,0.0,0.01,0.13,0.0015711868503746678,Low
9499,9649,Legends of Wrestling II,XB,2002,Fighting,Acclaim Entertainment,0.09,0.03,0.0,0.0,0.13,0.0015711868503746678,Low
9500,9650,Power Pro Kun Pocket 13,DS,2010,Sports,Konami Digital Entertainment,0.0,0.0,0.13,0.0,0.13,0.0015711868503746678,Low
9501,9651,Armed and Dangerous,XB,2003,Shooter,LucasArts,0.09,0.03,0.0,0.0,0.13,0.0015711868503746678,Low
9502,9652,Jurassic: The Hunted,X360,2009,Shooter,Activision,0.12,0.0,0.0,0.01,0.13,0.0015711868503746678,Low
9503,9653,Adventures to Go!,PSP,2008,Role-Playing,Zushi Games,0.1,0.0,0.01,0.01,0.13,0.0015711868503746678,Low
9504,9654,Conduit 2,Wii,2011,Shooter,Sega,0.07,0.04,0.0,0.01,0.13,0.0015711868503746678,Low
9505,9655,Supremacy MMA,PS3,2011,Fighting,505 Games,0.06,0.04,0.0,0.02,0.13,0.0015711868503746678,Low
9506,9656,World Soccer Winning Eleven 2002,PS,2002,Sports,Konami Digital Entertainment,0.0,0.0,0.12,0.01,0.13,0.0015711868503746678,Low
9507,9657,Geometry Wars: Galaxies,Wii,2007,Shooter,Vivendi Games,0.11,0.0,0.0,0.01,0.13,0.0015711868503746678,Low
9508,9658,Actua Tennis,PS,1997,Sports,Gremlin Interactive Ltd,0.07,0.05,0.0,0.01,0.13,0.0015711868503746678,Low
9509,9659,Horse Life,DS,2007,Simulation,Game Life,0.09,0.02,0.0,0.01,0.13,0.0015711868503746678,Low
9510,9660,Monster Truck Madness,GBA,2003,Racing,THQ,0.09,0.03,0.0,0.0,0.12,0.0014503263234227702,Low
9511,9661,Sonic Jam,SAT,1997,Platform,Sega,0.0,0.0,0.12,0.0,0.12,0.0014503263234227702,Low
9512,9662,Puella Magi Madoka Magica Portable,PSP,2012,Role-Playing,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12,0.0014503263234227702,Low
9513,9663,Ninja Reflex,Wii,2008,Action,Electronic Arts,0.11,0.01,0.0,0.01,0.12,0.0014503263234227702,Low
9514,9664,Peter Jacobsen's Golden Tee Golf,PS,2000,Sports,Infogrames,0.07,0.05,0.0,0.01,0.12,0.0014503263234227702,Low
9515,9665,Calling,Wii,2009,Adventure,Konami Digital Entertainment,0.07,0.04,0.0,0.01,0.12,0.0014503263234227702,Low
9516,9666,Marvel Avengers: Battle for Earth,WiiU,2012,Action,Ubisoft,0.07,0.04,0.0,0.01,0.12,0.0014503263234227702,Low
9517,9667,Disney's Atlantis: The Lost Empire,GBA,2001,Platform,THQ,0.09,0.03,0.0,0.0,0.12,0.0014503263234227702,Low
9518,9668,Nippon Daihyou Team no Kantoku ni Narou! Sekaihatsu Soccer RPG,SAT,1998,Sports,Sega,0.0,0.0,0.12,0.0,0.12,0.0014503263234227702,Low
9519,9670,Where the Wild Things Are,Wii,2009,Platform,Warner Bros. Interactive Entertainment,0.11,0.0,0.0,0.01,0.12,0.0014503263234227702,Low
9520,9671,High Velocity: Mountain Racing Challenge,SAT,1995,Racing,Atlus,0.0,0.0,0.12,0.0,0.12,0.0014503263234227702,Low
9521,9672,NHL 2K7,PS3,2006,Sports,Take-Two Interactive,0.11,0.0,0.0,0.01,0.12,0.0014503263234227702,Low
9522,9673,Resident Evil,PS3,2006,Action,Capcom,0.0,0.0,0.12,0.0,0.12,0.0014503263234227702,Low
9523,9674,Capcom vs. SNK 2: Millionaire Fighting 2001,DC,2001,Fighting,Capcom,0.0,0.0,0.12,0.0,0.12,0.0014503263234227702,Low
9524,9675,Criticom,PS,1996,Fighting,Vic Tokai,0.07,0.05,0.0,0.01,0.12,0.0014503263234227702,Low
9525,9676,SCORE International Baja 1000: The Official Game,X360,2008,Racing,Activision,0.11,0.01,0.0,0.01,0.12,0.0014503263234227702,Low
9526,9677,Disney Sing It: Party Hits,PS3,2010,Misc,Disney Interactive Studios,0.1,0.01,0.0,0.01,0.12,0.0014503263234227702,Low
9527,9678,Sleeping Dogs,PC,2012,Action,Square Enix,0.06,0.05,0.0,0.02,0.12,0.0014503263234227702,Low
9528,9679,Mega Man X: Command Mission,GC,2004,Role-Playing,Capcom,0.1,0.02,0.0,0.0,0.12,0.0014503263234227702,Low
9529,9680,Diner Dash: Sizzle & Serve,PSP,2007,Puzzle,Eidos Interactive,0.11,0.0,0.0,0.01,0.12,0.0014503263234227702,Low
9530,9681,After Hours Athletes,PS3,2011,Sports,Sony Computer Entertainment,0.0,0.1,0.0,0.03,0.12,0.0014503263234227702,Low
9531,9682,Lego Star Wars: The Force Awakens,PS3,2016,Action,Warner Bros. Interactive Entertainment,0.03,0.07,0.0,0.02,0.12,0.0014503263234227702,Low
9532,9683,Worms 3D,PS2,2003,Strategy,Sega,0.06,0.05,0.0,0.02,0.12,0.0014503263234227702,Low
9533,9684,Clock Tower: The First Fear,PS,1997,Adventure,Human Entertainment,0.0,0.0,0.12,0.01,0.12,0.0014503263234227702,Low
9534,9685,Kidou Senshi Gundam Seed Battle Destiny,PSV,2012,Action,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12,0.0014503263234227702,Low
9535,9686,Godzilla Unleashed: Double Smash,DS,2007,Action,Atari,0.11,0.0,0.0,0.01,0.12,0.0014503263234227702,Low
9536,9687,Star Trek: Conquest,Wii,2007,Strategy,Bethesda Softworks,0.11,0.01,0.0,0.01,0.12,0.0014503263234227702,Low
9537,9688,"Kilari: Na-san, Mon Meilleur Ami",DS,2006,Simulation,Konami Digital Entertainment,0.0,0.0,0.12,0.0,0.12,0.0014503263234227702,Low
9538,9689,Strikers 1945,PS,1998,Shooter,Midas Interactive Entertainment,0.07,0.05,0.0,0.01,0.12,0.0014503263234227702,Low
9539,9690,Ochaken no Heya DS,DS,2006,Simulation,MTO,0.0,0.0,0.12,0.0,0.12,0.0014503263234227702,Low
9540,9691,Obscure: The Aftermath,Wii,2008,Action,Playlogic Game Factory,0.12,0.0,0.0,0.01,0.12,0.0014503263234227702,Low
9541,9692,Galidor: Defenders of the Outer Dimension,GBA,2002,Action,Electronic Arts,0.09,0.03,0.0,0.0,0.12,0.0014503263234227702,Low
9542,9693,Tom Clancy's Splinter Cell Trilogy,PS3,2011,Action,Ubisoft,0.0,0.1,0.0,0.03,0.12,0.0014503263234227702,Low
9543,9695,Fire ProWrestling S: 6Men Scramble,SAT,1996,Fighting,Human Entertainment,0.0,0.0,0.12,0.0,0.12,0.0014503263234227702,Low
9544,9696,Blackwater,X360,2011,Shooter,505 Games,0.09,0.02,0.0,0.01,0.12,0.0014503263234227702,Low
9545,9697,Pryzm Chapter One: The Dark Unicorn,PS2,2002,Adventure,TDK Mediactive,0.06,0.05,0.0,0.02,0.12,0.0014503263234227702,Low
9546,9698,Gundam Battle Royale,PSP,2006,Action,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12,0.0014503263234227702,Low
9547,9699,Solitaire & Mahjong,Wii,2009,Puzzle,Crave Entertainment,0.11,0.0,0.0,0.01,0.12,0.0014503263234227702,Low
9548,9700,Zen-Nippon Pro Wrestling: Ouja no Kon,PS,1999,Fighting,Human Entertainment,0.0,0.0,0.12,0.01,0.12,0.0014503263234227702,Low
9549,9701,NASCAR 2005: Chase for the Cup,GC,2004,Racing,Electronic Arts,0.1,0.02,0.0,0.0,0.12,0.0014503263234227702,Low
9550,9702,Homefront: The Revolution,XOne,2016,Shooter,Deep Silver,0.05,0.07,0.0,0.01,0.12,0.0014503263234227702,Low
9551,9703,"Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 12: CR Shinseiki Evangelion - Shito, Futatabi",PS2,2008,Misc,D3Publisher,0.0,0.0,0.12,0.0,0.12,0.0014503263234227702,Low
9552,9704,Guilty Gear X,PS2,2001,Fighting,Sammy Corporation,0.06,0.05,0.0,0.02,0.12,0.0014503263234227702,Low
9553,9705,Deadliest Catch: Sea of Chaos,Wii,2010,Sports,Crave Entertainment,0.12,0.0,0.0,0.01,0.12,0.0014503263234227702,Low
9554,9706,One Piece: Pirate Warriors 2,PSV,2013,Action,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12,0.0014503263234227702,Low
9555,9707,NHL 2002,GBA,2002,Sports,Electronic Arts,0.09,0.03,0.0,0.0,0.12,0.0014503263234227702,Low
9556,9708,Disney's PK: Out of the Shadows,PS2,2002,Platform,Ubisoft,0.06,0.05,0.0,0.02,0.12,0.0014503263234227702,Low
9557,9709,Mugen no Frontier: Super Robot Taisen OG Saga EXCEED,DS,2010,Role-Playing,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12,0.0014503263234227702,Low
9558,9710,Karaoke Revolution,X360,2009,Misc,Konami Digital Entertainment,0.12,0.0,0.0,0.01,0.12,0.0014503263234227702,Low
9559,9711,Echo Night,PS,1998,Adventure,From Software,0.03,0.02,0.07,0.01,0.12,0.0014503263234227702,Low
9560,9712,Are You Smarter than a 5th Grader? Game Time,X360,2009,Puzzle,THQ,0.12,0.0,0.0,0.01,0.12,0.0014503263234227702,Low
9561,9713,Rocket League,XOne,2016,Sports,505 Games,0.03,0.09,0.0,0.01,0.12,0.0014503263234227702,Low
9562,9714,Wild ARMs 5 (jp sales),PS2,2006,Role-Playing,505 Games,0.0,0.0,0.12,0.0,0.12,0.0014503263234227702,Low
9563,9715,Tom Clancy's Splinter Cell: Blacklist,WiiU,2013,Action,Ubisoft,0.05,0.07,0.0,0.01,0.12,0.0014503263234227702,Low
9564,9716,Gladiator Begins,PSP,2010,Action,PQube,0.05,0.01,0.05,0.01,0.12,0.0014503263234227702,Low
9565,9717,Colony Wars III: Red Sun,PS,2000,Simulation,Psygnosis,0.07,0.05,0.0,0.01,0.12,0.0014503263234227702,Low
9566,9718,Magic: The Gathering - Battlemage,PS,1997,Strategy,Acclaim Entertainment,0.07,0.05,0.0,0.01,0.12,0.0014503263234227702,Low
9567,9719,The King of Fighters '94,NG,1994,Fighting,SNK,0.0,0.0,0.12,0.0,0.12,0.0014503263234227702,Low
9568,9720,DS Yamamura Misa Suspense: Maiko Kogiku - Kisha Katherine - Sougiya Isa Akashi - Koto ni Maru Hana Sanrin: Kyoto Satujin Jinken File,DS,2008,Adventure,Tecmo Koei,0.0,0.0,0.12,0.0,0.12,0.0014503263234227702,Low
